node,thULA,thURA,thULB,thURB,dthULA,dthURA,dthULB,dthURB,tLeftA,tRightA,tLeftB,tRightB
1,0.671863758,2.362109878,0.986732783,2.202135193,3.634200956,6.012503004,-2.240385835,-1.648372008,-1.41E-07,-2.41E-07,8.60E-08,6.31E-08
2,0.680083102,2.373727429,0.978636024,2.19709996,4.109674954,5.808780388,-4.048382971,-2.517618614,5.702404405,-2.079628229,6.189488744,-8.268726807
3,0.689071364,2.384969088,0.971504803,2.191095132,4.494136036,5.620835817,-3.565614377,-3.002417434,5.713782755,-2.264366299,6.49831674,-6.567603972
4,0.698898338,2.395745753,0.963981925,2.185516475,4.913499214,5.38834564,-3.761448405,-2.789335324,5.746163204,-2.429326065,5.829315778,-5.854319522
5,0.709535806,2.406060985,0.956515048,2.179903595,5.318747177,5.157628641,-3.733447693,-2.806447034,5.739306087,-2.558789536,5.843168528,-5.836059059
6,0.720980976,2.415893253,0.9491028,2.17425782,5.722598601,4.916146122,-3.706132813,-2.822894378,5.732537752,-2.689900989,5.858469607,-5.818919656
7,0.733231043,2.425220484,0.941745414,2.168578904,6.125048319,4.663626383,-3.678701699,-2.839464808,5.725839488,-2.822470221,5.874774784,-5.802475436
8,0.746283376,2.434019971,0.934442739,2.162867045,6.526181745,4.399754059,-3.651346388,-2.855936105,5.719315742,-2.956479455,5.892056776,-5.786727086
9,0.760135572,2.442268423,0.927194627,2.157122477,6.926113571,4.124235243,-3.624063912,-2.872290647,5.713082588,-3.091910597,5.910286282,-5.771674487
10,0.774785546,2.449941978,0.920000931,2.151345467,7.325003462,3.836785903,-3.596856494,-2.888511434,5.707268916,-3.228746396,5.929433856,-5.757318625
11,0.790231634,2.457016224,0.912861483,2.145536315,7.723061067,3.53713121,-3.569731838,-2.904582149,5.702017098,-3.36697064,5.949469455,-5.743661127
12,0.806472702,2.46346622,0.905776091,2.139695353,8.120551395,3.22500473,-3.542703446,-2.920487186,5.697483826,-3.506568502,5.970362329,-5.730704142
13,0.823508267,2.469266503,0.898744524,2.133822942,8.517800608,2.900147497,-3.515790988,-2.936211634,5.693841042,-3.647526881,5.99208089,-5.718450205
14,0.841338636,2.474391106,0.891766496,2.127919472,8.915202301,2.562306975,-3.489020727,-2.951741202,5.691276973,-3.789834715,6.014592557,-5.706902074
15,0.859965047,2.47881357,0.884841658,2.12198536,9.31322432,2.211235945,-3.462426036,-2.967062088,5.689997284,-3.933483257,6.03786356,-5.696062536
16,0.879389842,2.482506945,0.877969575,2.11602105,9.71241624,1.846691376,-3.436048013,-2.982160772,5.690226384,-4.078466287,6.061858709,-5.68593419
17,0.89961664,2.485443806,0.871149716,2.110027013,10.11341759,1.468433326,-3.409936233,-2.997023729,5.692208907,-4.224780222,6.086541112,-5.67651919
18,0.920650535,2.487596251,0.864381429,2.10400375,10.51696696,1.076224014,-3.384149657,-3.011637047,5.696211398,-4.372424087,6.111871834,-5.667818957
19,0.942498321,2.488935902,0.857663925,2.097951789,10.92391222,0.669827169,-3.358757753,-3.025985943,5.702524261,-4.521399298,6.137809488,-5.659833848
20,0.965168727,2.489433917,0.850996253,2.091871691,11.33522192,0.249007898,-3.333841865,-3.040054163,5.711464019,-4.671709152,6.164309746,-5.652562788
21,0.988672684,2.489060985,0.844377269,2.085764055,11.75199828,-0.186466657,-3.309496994,-3.053823145,5.723375946,-4.823357955,6.191324751,-5.646002839
22,1.013023629,2.487787336,0.837805614,2.07962952,12.17549189,-0.636825413,-3.285832782,-3.067272189,5.738636812,-4.97634991,6.218802441,-5.640148738
23,1.025312774,2.48702129,0.834509101,2.076574243,12.28911265,-0.766044254,-3.296504775,-3.05526889,2.884770172,-2.559289149,3.123250661,-2.822002591
24,1.050758448,2.484537885,0.8279515,2.070448844,12.72285623,-1.241704181,-3.278805256,-3.062704486,5.76764437,-5.208012197,6.260705372,-5.632447904
25,1.077096186,2.481079883,0.821436839,2.064297772,13.16888783,-1.729003675,-3.257335607,-3.075540118,5.792547286,-5.363900656,6.288769462,-5.627846832
