node,thULA,thURA,thULB,thURB,dthULA,dthURA,dthULB,dthURB,tLeftA,tRightA,tLeftB,tRightB
1,0.41019302970326166,1.982162942636389,1.2003804412898835,2.3566095969224268,1.961820761105282,4.1597082035020305,-0.6978474850243269,-2.060130194435574,-7.486600600758162e-07,-1.6334611308130664e-06,2.1405240235904574e-07,8.312323621453499e-07
2,0.41635688288890393,1.9926614107494527,1.1935541232017286,2.34828183690048,2.465265203497276,4.198917032846981,-2.730221493583307,-3.330731019519229,5.081553269506035,0.788544510347956,3.399405245210228,-4.027281549830586
3,0.4234120347493195,2.0033402583505144,1.1844962145355955,2.3392572824491524,2.8220178607727675,4.271474131088507,-3.6231084096849338,-3.6097669265000834,3.937160099472673,1.5629653338353329,2.435215946505657,-3.9464234387496453
4,0.43099444196269204,2.0143841928043233,1.1760896249097839,2.329607935198134,3.0329263762118437,4.417520605202913,-3.3625953727658313,-3.859692438995884,2.780745508025641,2.3112806843728997,2.548780860727215,-2.7867176392278172
5,0.438952326130691,2.025930576212649,1.1672596995382833,2.320533043671416,3.183123607892349,4.618509749188871,-3.531936795332661,-3.629922332109149,1.6392933217579033,3.069320237599908,2.2517970517927837,-1.979550220282429
6,0.44724580167035555,2.0379850351557804,1.15834832122953,2.3116485172386794,3.3173589307800158,4.82173810478686,-3.5645177075301695,-3.5537770584155766,1.535692867947973,3.0411480460462643,2.3117851554008872,-2.0074376767045554
7,0.4558660905473481,2.050537153575111,1.1493521097124,2.302954163868857,3.4480830783612584,5.020800084182372,-3.598450718324027,-3.477708596493861,1.4545791604168004,2.996212999229393,2.373217451349742,-2.036988958673569
8,0.4648078690435202,2.0635736206020883,1.1402685258834662,2.294448809040972,3.576677758694679,5.2145377664305,-3.6333993583149495,-3.4021099332447102,1.3911488017904412,2.93810747554006,2.435772399937506,-2.06778905777044
9,0.4740713607452167,2.077076490912473,1.1310955213432983,2.2861306831384938,3.7053618777743353,5.401097393919749,-3.669167353122864,-3.3272191098229262,1.3559584284583985,2.8588210468582234,2.5003189701222808,-2.1007698461085953
10,0.4836614727019311,2.091023828491957,1.1218315993317205,2.277997384634142,3.83600879902937,5.578882699119593,-3.7055340448923637,-3.253288884284834,1.3449909512520488,2.761241254637431,2.5666292158197312,-2.135550030223672
11,0.4935837355918352,2.105392951710251,1.1124754451746428,2.2700463218795277,3.9688679638812254,5.7475954268635245,-3.742426592722384,-3.1803952985066952,1.3380072948925206,2.660365248605266,2.633185201333935,-2.1703106015978615
12,0.5038436417445777,2.1201609370497905,1.1030258666891954,2.26227478063138,4.103924031163475,5.907138820232307,-3.7797959994426513,-3.1085873898491,1.3318080108746537,2.5585283699049937,2.6997627079274653,-2.204755512715845
13,0.5144464708969787,2.1353047312918023,1.0934817790757811,2.2546799386545735,4.24109196335463,6.057460997562999,-3.817599311749501,-3.0379083551947814,1.3256338760920479,2.4562596758190933,2.7663248681890233,-2.2388049965148107
14,0.5253972130072931,2.150801186369929,1.083842198387472,2.247258870463778,4.3802558490119505,6.198524018840714,-3.8557961886636827,-2.9683994948645527,1.3192049206021284,2.3537348424578592,2.8328723199365626,-2.272420790070609
15,0.5367005206711021,2.1666270711634494,1.074106237373258,2.24000854962551,4.521280743211309,6.330294661475493,-3.8943479518975104,-2.900101188355822,1.3123814668100993,2.2510266360598044,2.8994171608065957,-2.3055760449859526
16,0.5483606739226572,2.1827590742608196,1.0642731021026162,2.232925850513456,4.664017621658011,6.452740808422887,-3.9332172733067847,-2.833053113012619,1.3050772453754163,2.1481690842446617,2.965976201064304,-2.3382476751104897
17,0.5603815517913958,2.199173802482057,1.0543420888448731,2.226007550133665,4.808306082721406,6.565829751723253,-3.972368072965311,-2.7672942160699248,1.2972306409309156,2.0451788174047087,3.032568676345636,-2.37041387036345
18,0.5727666084568573,2.215847777187557,1.0443125809959688,2.2192503302483155,4.953976186775266,6.669527307072847,-4.011765500202213,-2.70286259522563,1.288793380749013,1.9420635986594603,3.099215301833052,-2.4020531594150727
19,0.5855188530913153,2.2327574294109276,1.034184045961246,2.212650779883631,5.100849931267659,6.76379734343192,-4.051375951187891,-2.6397953449807434,1.2797255030173704,1.8388262556784363,3.1659378112719057,-2.433144030039593
20,0.59864083298665,2.2498790944467126,1.0239560319524827,2.206205398246158,5.248742564403469,6.8486015649766365,-4.091167103235416,-2.578128393296644,1.2699929066241846,1.7354667265108206,3.2327586970133706,-2.4636647790069275
21,0.612134619787171,2.2671890063371896,1.0136281646800427,2.199910598040026,5.397463827511032,6.923899470728657,-4.131107956750717,-2.5178963412029907,1.259566074123381,1.6319832480921062,3.299701043161686,-2.4935934664706987
22,0.6260017987552048,2.2846632926076316,1.0032001439326848,2.193762709159359,5.546819168135177,6.989648453935956,-4.171168880166038,-2.459132312740778,1.2484193706921838,1.5283731211873242,3.36678840625934,-2.5229079216518406
23,0.6402434610454862,2.3022779695458007,0.9926717400473871,2.187757982720643,5.696610943545048,7.045804019763858,-4.211321653932,-2.4018678189781215,1.2365306432453915,1.4246332504865726,3.4340447226454516,-2.5515857750386486
24,0.6548601989858911,2.320008938287461,0.982042790273469,2.1818925953891943,5.846639623257256,7.092320107700797,-4.251539512795045,-2.34613264037556,1.2238809831261912,1.3207605570468062,3.501494232304568,-2.5796045046175156
25,0.6698521043686905,2.3378319819449986,0.9713131950422571,2.1761626539509407,5.996704993230367,7.129149508797267,-4.291797183576821,-2.2919547286576183,1.2104545807614269,1.2167523131079774,3.5691614139797636,-2.606941489375208
26,0.6852187697552151,2.3557227639961225,0.9604829141538098,2.1705642000739833,6.14660736121416,7.15624436969594,-4.332070918347923,-2.2393601309039735,1.196238632926918,1.1126064260234996,3.637070928751286,-2.633574066149515
27,0.7009592927908764,2.3736568281313133,0.9495519628970641,2.165093215203525,6.29614876087737,7.173556776128468,-4.372338521054645,-2.188372936202588,1.1812232801705838,1.0083216859353852,3.705247570521813,-2.659479587389246
